Path1_1(x)	Path1_1(y)	Path1_2(x)	Path1_2(y)	Path1_3(x)	Path1_3(y)	Path1_4(x)	Path1_4(y)	Path1_5(x)	Path1_5(y)	Path1_6(x)	Path1_6(y)	Path1_7(x)	Path1_7(y)	Path1_8(x)	Path1_8(y)	Path1_9(x)	Path1_9(y)	Path1_10(x)	Path1_10(y)	Path1_11(x)	Path1_11(y)	Path1_12(x)	Path1_12(y)	Path1_13(x)	Path1_13(y)	Path1_14(x)	Path1_14(y)	Path1_15(x)	Path1_15(y)	Path1_16(x)	Path1_16(y)	Path1_17(x)	Path1_17(y)	Path1_18(x)	Path1_18(y)	Path1_19(x)	Path1_19(y)	Path1_20(x)	Path1_20(y)
5	22	5	22	5	22	12	19	10	17	10	17	12	19	10	17	5	22	5	22	5	22	5	22	5	22	5	22	5	22	5	22	5	22	5	22	5	22	5	22
5	21	5	21	5	21	12	18	11	17	10	16	12	18	11	17	5	21	5	21	5	21	5	21	5	21	5	21	5	21	5	21	5	21	5	21	5	21	5	21
5	20	5	20	5	20	12	17	12	17	10	15	12	17	12	17	5	20	5	20	5	20	5	20	5	20	5	20	5	20	5	20	5	20	5	20	5	20	5	20
5	19	5	19	5	19	13	17	13	17	10	14	12	16	12	16	5	19	5	19	5	19	5	19	5	19	5	19	5	19	5	19	5	19	5	19	5	19	5	19
5	18	5	18	5	18	14	17	14	17	10	13	12	15	12	15	5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18
5	17	5	17	5	17	15	17	15	17	10	12	12	14	12	14	5	17	5	17	5	17	5	17	5	17	5	17	5	17	5	17	5	17	5	17	5	17	5	17
5	16	5	16	5	16	15	16	15	16	10	11	12	13	12	13	5	16	5	16	5	16	5	16	5	16	5	16	5	16	5	16	5	16	5	16	5	16	5	16
5	15	5	15	5	15	15	15	15	15	10	10	12	12	12	12	5	15	5	15	5	15	5	15	5	15	5	15	5	15	5	15	5	15	5	15	5	15	5	15
5	14	5	14	5	14	16	15	16	15	11	10	12	11	12	11	5	14	5	14	5	14	5	14	5	14	5	14	5	14	5	14	5	14	5	14	5	14	5	14
5	13	5	13	5	13	17	15	17	15	12	10	12	10	12	10	5	13	5	13	5	13	5	13	5	13	5	13	5	13	5	13	5	13	5	13	5	13	5	13
5	12	5	12	5	12	18	15	18	15	13	10	13	10	13	10	5	12	5	12	5	12	6	13	5	12	5	12	6	13	6	13	5	12	5	12	6	13	6	13
5	11	5	11	5	11	19	15	19	15	14	10	14	10	14	10	5	11	5	11	5	11	7	13	5	11	5	11	7	13	7	13	5	11	5	11	7	13	7	13
5	10	5	10	5	10	20	15	20	15	15	10	15	10	15	10	5	10	5	10	5	10	8	13	5	10	5	10	8	13	8	13	5	10	5	10	8	13	8	13
5	11	5	11	5	11	21	15	21	15	16	10	16	10	16	10	5	11	5	11	5	11	9	13	5	11	5	11	9	13	9	13	5	11	5	11	9	13	9	13
5	12	5	12	5	12	21	14	21	14	17	10	17	10	17	10	5	12	5	12	5	12	10	13	5	12	5	12	10	13	10	13	5	12	5	12	10	13	10	13
5	13	5	13	5	13	21	13	21	13	18	10	18	10	18	10	5	13	5	13	5	13	10	12	5	13	5	13	10	14	10	12	5	13	5	13	10	14	10	12
6	13	6	13	6	13	21	12	21	12	19	10	19	10	19	10	6	13	6	13	6	13	10	11	6	13	6	13	10	15	10	11	6	13	6	13	10	15	10	11
7	13	7	13	7	13	21	11	21	11	20	10	20	10	20	10	7	13	7	13	7	13	10	10	7	13	7	13	10	16	10	10	7	13	7	13	10	16	10	10
8	13	8	13	8	13	21	10	21	10	21	10	21	10	21	10	8	13	8	13	8	13	11	10	8	13	8	13	10	17	11	10	8	13	8	13	10	17	11	10
9	13	9	13	9	13	22	10	22	10	22	10	22	10	22	10	9	13	9	13	9	13	12	10	9	13	9	13	11	17	12	10	9	13	9	13	11	17	12	10
10	13	10	13	10	13	23	10	23	10	23	10	23	10	23	10	10	13	10	13	10	13	13	10	10	13	10	13	12	17	13	10	10	13	10	13	12	17	13	10
10	12	10	12	10	12	24	10	24	10	24	10	24	10	24	10	10	12	10	12	10	12	14	10	10	12	10	14	13	17	14	10	10	12	10	14	13	17	12	10
10	11	10	11	10	11	25	10	25	10	25	10	25	10	25	10	10	11	10	11	10	11	15	10	10	11	10	15	14	17	15	10	10	11	10	15	14	17	12	11
10	10	10	10	10	10	24	10	24	10	24	10	24	10	24	10	10	10	10	10	10	10	16	10	10	10	10	16	15	17	16	10	10	10	10	16	15	17	12	12
11	10	11	10	11	10	23	10	23	10	23	10	23	10	23	10	11	10	11	10	11	10	17	10	11	10	10	17	15	18	17	10	11	10	10	17	15	18	12	13
12	10	12	10	12	10	22	10	22	10	22	10	22	10	22	10	12	10	12	10	12	10	18	10	12	10	11	17	15	19	18	10	12	10	11	17	15	19	12	14
13	10	13	10	13	10	21	10	21	10	21	10	21	10	21	10	13	10	13	10	13	10	19	10	13	10	12	17	15	20	19	10	13	10	12	17	15	20	12	15
14	10	14	10	14	10	20	10	20	10	20	10	20	10	20	10	14	10	14	10	14	10	20	10	14	10	13	17	15	21	20	10	12	10	13	17	15	21	12	16
15	10	15	10	15	10	19	10	19	10	19	10	19	10	19	10	15	10	15	10	15	10	21	10	15	10	14	17	15	22	21	10	12	11	14	17	15	22	12	17
16	10	16	10	16	10	18	10	18	10	18	10	18	10	18	10	16	10	16	10	16	10	22	10	16	10	15	17	15	23	22	10	12	12	15	17	15	23	13	17
17	10	17	10	17	10	17	10	17	10	17	10	17	10	17	10	17	10	17	10	17	10	23	10	17	10	15	18	15	24	23	10	12	13	15	18	15	24	14	17
18	10	18	10	18	10	16	10	16	10	16	10	16	10	16	10	18	10	18	10	18	10	24	10	18	10	15	19	15	25	24	10	12	14	15	19	15	25	15	17
19	10	19	10	19	10	15	10	15	10	15	10	15	10	15	10	19	10	19	10	19	10	25	10	19	10	15	20	16	25	25	10	12	15	15	20	16	25	15	18
20	10	20	10	20	10	14	10	14	10	14	10	14	10	14	10	20	10	20	10	20	10	24	10	20	10	15	21	17	25	24	10	12	16	15	21	17	25	15	19
21	10	21	10	21	10	13	10	13	10	13	10	13	10	13	10	21	10	21	10	21	10	23	10	21	10	15	22	18	25	23	10	12	17	15	22	18	25	15	20
22	10	22	10	22	10	12	10	12	10	12	10	12	10	12	10	22	10	22	10	22	10	22	10	22	10	15	23	19	25	22	10	13	17	15	23	19	25	15	21
23	10	23	10	23	10	11	10	11	10	11	10	11	10	11	10	23	10	23	10	23	10	21	10	23	10	15	24	20	25	21	10	14	17	15	24	20	25	15	22
24	10	24	10	24	10	10	10	10	10	10	10	10	10	10	10	24	10	24	10	24	10	20	10	24	10	15	25	21	25	21	11	15	17	15	25	21	25	15	23
25	10	25	10	25	10	10	11	10	11	10	11	10	11	10	11	25	10	25	10	25	10	19	10	25	10	16	25	22	25	21	12	15	18	16	25	22	25	15	24
24	10	24	10	24	10	10	12	10	12	10	12	10	12	10	12	24	10	24	10	24	10	18	10	24	10	17	25	23	25	21	13	15	19	17	25	23	25	15	25
23	10	23	10	23	10	10	13	10	13	10	13	10	13	10	13	23	10	23	10	23	10	17	10	23	10	18	25	23	24	21	14	15	20	18	25	23	24	16	25
22	10	22	10	22	10	9	13	9	13	9	13	9	13	9	13	22	10	22	10	22	10	16	10	22	10	19	25	23	23	21	15	15	21	19	25	23	23	17	25
21	10	21	10	21	10	8	13	8	13	8	13	8	13	8	13	21	10	21	10	21	10	15	10	21	10	20	25	23	22	22	15	15	22	20	25	23	22	18	25
20	10	20	10	21	11	7	13	7	13	7	13	7	13	7	13	20	10	21	11	20	10	14	10	21	11	21	25	23	21	23	15	15	23	21	25	23	21	19	25
19	10	19	10	21	12	6	13	6	13	6	13	6	13	6	13	19	10	21	12	19	10	13	10	21	12	22	25	23	20	24	15	15	24	22	25	23	20	20	25
18	10	18	10	21	13	5	13	5	13	5	13	5	13	5	13	18	10	21	13	18	10	12	10	21	13	23	25	23	19	25	15	15	25	23	25	23	19	21	25
17	10	17	10	21	14	5	12	5	12	5	12	5	12	5	12	17	10	21	14	17	10	11	10	21	14	23	24	23	18	25	16	16	25	23	24	23	18	22	25
16	10	16	10	21	15	5	11	5	11	5	11	5	11	5	11	16	10	21	15	16	10	10	10	21	15	23	23	23	17	25	17	17	25	23	23	23	17	23	25
15	10	15	10	20	15	5	10	5	10	5	10	5	10	5	10	15	10	20	15	15	10	10	11	22	15	23	22	24	17	24	17	18	25	23	22	24	17	23	24
14	10	14	10	19	15	5	11	5	11	5	11	5	11	5	11	14	10	19	15	14	10	10	12	23	15	23	21	25	17	23	17	19	25	23	21	25	17	23	23
13	10	13	10	18	15	5	12	5	12	5	12	5	12	5	12	13	10	18	15	13	10	10	13	24	15	23	20	25	16	23	18	20	25	23	20	25	16	23	22
12	10	12	10	17	15	5	13	5	13	5	13	5	13	5	13	12	10	17	15	12	10	9	13	25	15	23	19	25	15	23	19	21	25	23	19	25	15	23	21
11	10	12	11	16	15	5	14	5	14	5	14	5	14	5	14	12	11	16	15	11	10	8	13	25	16	23	18	24	15	23	20	22	25	23	18	24	15	23	20
10	10	12	12	15	15	5	15	5	15	5	15	5	15	5	15	12	12	15	15	10	10	7	13	25	17	23	17	23	15	23	21	23	25	23	17	23	15	23	19
10	11	12	13	15	16	5	16	5	16	5	16	5	16	5	16	12	13	15	16	10	11	6	13	24	17	24	17	22	15	23	22	23	24	24	17	22	15	23	18
10	12	12	14	15	17	5	17	5	17	5	17	5	17	5	17	12	14	15	17	10	12	5	13	23	17	25	17	21	15	23	23	23	23	25	17	21	15	23	17
10	13	12	15	14	17	5	18	5	18	5	18	5	18	5	18	12	15	14	17	10	13	5	12	23	18	25	16	21	14	23	24	23	22	25	16	21	14	24	17
10	14	12	16	13	17	5	19	5	19	5	19	5	19	5	19	12	16	13	17	9	13	5	11	23	19	25	15	21	13	23	25	23	21	25	15	21	13	25	17
10	15	12	17	12	17	5	20	5	20	5	20	5	20	5	20	12	17	12	17	8	13	5	10	23	20	24	15	21	12	22	25	23	20	24	15	21	12	25	16
10	16	11	17	11	17	5	21	5	21	5	21	5	21	5	21	12	18	12	18	7	13	5	11	23	21	23	15	21	11	21	25	23	19	23	15	21	11	25	15
10	17	10	17	10	17	5	22	5	22	5	22	5	22	5	22	12	19	12	19	6	13	5	12	23	22	22	15	21	10	20	25	23	18	22	15	21	10	24	15
10	18	10	18	10	18	5	23	5	23	5	23	5	23	5	23	12	20	12	20	5	13	5	13	23	23	21	15	22	10	19	25	23	17	21	15	22	10	23	15
10	19	10	19	10	19	5	24	5	24	5	24	5	24	5	24	12	21	12	21	5	14	5	14	23	24	21	14	23	10	18	25	24	17	21	14	23	10	22	15
10	20	10	20	10	20	5	25	5	25	5	25	5	25	5	25	12	22	12	22	5	15	5	15	23	25	21	13	24	10	17	25	25	17	21	13	24	10	21	15
10	21	10	21	10	21	6	25	6	25	6	25	6	25	6	25	12	23	12	23	5	16	5	16	22	25	21	12	25	10	16	25	25	16	21	12	25	10	21	14
10	22	10	22	10	22	7	25	7	25	7	25	7	25	7	25	12	24	12	24	5	17	5	17	21	25	21	11	24	10	15	25	25	15	21	11	24	10	21	13
10	23	10	23	10	23	8	25	8	25	8	25	8	25	8	25	12	25	12	25	5	18	5	18	20	25	21	10	23	10	15	24	24	15	21	10	23	10	21	12
10	24	10	24	10	24	9	25	9	25	9	25	9	25	9	25	12	26	12	26	5	19	5	19	19	25	22	10	22	10	15	23	23	15	22	10	22	10	21	11
10	25	10	25	10	25	10	25	10	25	10	25	10	25	10	25	12	27	12	27	5	20	5	20	18	25	23	10	21	10	15	22	22	15	23	10	21	10	21	10
10	26	10	26	10	26	10	26	10	26	10	26	10	26	10	26	12	28	12	28	5	21	5	21	17	25	24	10	20	10	15	21	21	15	24	10	21	11	22	10
10	27	10	27	10	27	10	27	10	27	10	27	10	27	10	27	12	29	12	29	5	22	5	22	16	25	25	10	19	10	15	20	21	14	25	10	21	12	23	10
10	28	10	28	10	28	10	28	10	28	10	28	10	28	10	28	12	30	12	30	5	23	5	23	15	25	24	10	18	10	15	19	21	13	24	10	21	13	24	10
10	29	10	29	10	29	10	29	10	29	10	29	10	29	10	29	11	30	11	30	5	24	5	24	15	24	23	10	17	10	15	18	21	12	23	10	21	14	25	10
10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	5	25	5	25	15	23	22	10	16	10	15	17	21	11	22	10	21	15	24	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	25	6	25	15	22	21	10	15	10	14	17	21	10	21	10	22	15	23	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	25	7	25	15	21	20	10	14	10	13	17	22	10	21	11	23	15	22	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	25	8	25	15	20	19	10	13	10	12	17	23	10	21	12	24	15	21	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	25	9	25	15	19	18	10	12	10	11	17	24	10	21	13	25	15	21	11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	25	10	25	15	18	17	10	11	10	10	17	25	10	21	14	25	16	21	12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	26	10	26	15	17	16	10	10	10	10	16	24	10	21	15	25	17	21	13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	27	10	27	14	17	15	10	10	11	10	15	23	10	22	15	24	17	21	14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	28	10	28	13	17	14	10	10	12	10	14	22	10	23	15	23	17	21	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	29	10	29	12	17	13	10	10	13	10	13	21	10	24	15	23	18	22	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	30	10	30	11	17	12	10	9	13	9	13	21	11	25	15	23	19	23	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	17	11	10	8	13	8	13	21	12	25	16	23	20	24	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	16	10	10	7	13	7	13	21	13	25	17	23	21	25	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	15	10	11	6	13	6	13	21	14	24	17	23	22	25	16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	14	10	12	5	13	5	13	21	15	23	17	23	23	25	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	13	10	13	5	12	5	12	22	15	23	18	23	24	24	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	9	13	5	11	5	11	23	15	23	19	23	25	23	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	8	13	5	10	5	10	24	15	23	20	22	25	23	18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	13	7	13	5	11	5	11	25	15	23	21	21	25	23	19
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	6	13	5	12	5	12	25	16	23	22	20	25	23	20
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	13	5	13	5	13	5	13	25	17	23	23	19	25	23	21
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	5	14	5	14	5	14	24	17	23	24	18	25	23	22
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	15	5	15	5	15	5	15	23	17	23	25	17	25	23	23
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	5	16	5	16	5	16	23	18	22	25	16	25	23	24
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	17	5	17	5	17	5	17	23	19	21	25	15	25	23	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	18	5	18	5	18	5	18	23	20	20	25	15	24	22	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	19	5	19	5	19	5	19	23	21	19	25	15	23	21	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	20	5	20	5	20	5	20	23	22	18	25	15	22	20	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	21	5	21	5	21	5	21	23	23	17	25	15	21	19	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	22	5	22	5	22	5	22	23	24	16	25	15	20	18	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	23	5	23	5	23	5	23	23	25	15	25	15	19	17	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	24	5	24	5	24	5	24	22	25	15	24	15	18	16	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	25	5	25	5	25	5	25	21	25	15	23	15	17	15	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	25	6	25	6	25	6	25	20	25	15	22	14	17	15	24
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	25	7	25	7	25	7	25	19	25	15	21	13	17	15	23
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	25	8	25	8	25	8	25	18	25	15	20	12	17	15	22
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	25	9	25	9	25	9	25	17	25	15	19	12	16	15	21
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	25	10	25	10	25	10	25	16	25	15	18	12	15	15	20
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	26	10	26	10	26	10	26	15	25	15	17	12	14	15	19
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	27	10	27	10	27	10	27	15	24	14	17	12	13	15	18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	28	10	28	10	28	10	28	15	23	13	17	12	12	15	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	29	10	29	10	29	10	29	15	22	12	17	12	11	14	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	30	10	30	10	30	10	30	15	21	12	16	12	10	13	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	20	12	15	13	10	12	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	19	12	14	12	10	11	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	18	12	13	11	10	10	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	17	12	12	10	10	10	16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	17	12	11	10	11	10	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	17	12	10	10	12	10	14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	17	13	10	10	13	10	13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	17	12	10	9	13	9	13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	17	11	10	8	13	8	13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	16	10	10	7	13	7	13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	15	10	11	6	13	6	13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	14	10	12	5	13	5	13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	13	10	13	5	12	5	12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	9	13	5	11	5	11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	8	13	5	10	5	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	13	7	13	5	11	5	11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	6	13	5	12	5	12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	13	5	13	5	13	5	13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	5	14	5	14	5	14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	15	5	15	5	15	5	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	5	16	5	16	5	16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	17	5	17	5	17	5	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	18	5	18	5	18	5	18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	19	5	19	5	19	5	19
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	20	5	20	5	20	5	20
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	21	5	21	5	21	5	21
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	22	5	22	5	22	5	22
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	23	5	23	5	23	5	23
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	24	5	24	5	24	5	24
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	25	5	25	5	25	5	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	25	6	25	6	25	6	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	25	7	25	7	25	7	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	25	8	25	8	25	8	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	25	9	25	9	25	9	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	25	10	25	10	25	10	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	26	10	26	10	26	10	26
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	27	10	27	10	27	10	27
