Path3_1(x)	Path3_1(y)	Path3_2(x)	Path3_2(y)	Path3_3(x)	Path3_3(y)	Path3_4(x)	Path3_4(y)	Path3_5(x)	Path3_5(y)	Path3_6(x)	Path3_6(y)	Path3_7(x)	Path3_7(y)	Path3_8(x)	Path3_8(y)	Path3_9(x)	Path3_9(y)	Path3_10(x)	Path3_10(y)	Path3_11(x)	Path3_11(y)	Path3_12(x)	Path3_12(y)	Path3_13(x)	Path3_13(y)	Path3_14(x)	Path3_14(y)	Path3_15(x)	Path3_15(y)	Path3_16(x)	Path3_16(y)	Path3_17(x)	Path3_17(y)	Path3_18(x)	Path3_18(y)	Path3_19(x)	Path3_19(y)	Path3_20(x)	Path3_20(y)	Path3_21(x)	Path3_21(y)
23	40	23	40	23	40	23	40	22	39	20	37	22	39	20	37	23	40	23	40	23	40	23	40	22	39	20	37	22	39	20	37	22	39	20	37	5	42	5	42	5	42
24	40	24	40	24	40	24	40	22	38	21	37	22	38	21	37	24	40	24	40	24	40	24	40	22	38	21	37	22	38	21	37	22	38	21	37	5	43	5	43	5	43
25	40	25	40	25	40	25	40	22	37	22	37	22	37	22	37	25	40	25	40	25	40	25	40	22	37	22	37	22	37	22	37	22	37	22	37	5	44	5	44	5	44
26	40	26	40	26	40	26	40	23	37	23	37	23	37	23	37	26	40	26	40	26	40	26	40	23	37	23	37	23	37	23	37	23	37	23	37	5	45	5	45	5	45
27	40	27	40	27	40	27	40	24	37	24	37	24	37	24	37	27	40	27	40	27	40	27	40	24	37	24	37	24	37	24	37	24	37	24	37	6	45	6	45	6	45
28	40	27	41	28	40	27	41	25	37	25	37	25	37	25	37	28	40	27	41	28	40	27	41	25	37	25	37	25	37	25	37	25	37	25	37	7	45	7	45	7	45
29	40	27	42	29	40	27	42	26	37	26	37	26	37	26	37	29	40	27	42	29	40	27	42	26	37	26	37	26	37	26	37	26	37	26	37	8	45	8	45	8	45
30	40	27	43	30	40	27	43	27	37	27	37	27	37	27	37	30	40	27	43	30	40	27	43	27	37	27	37	27	37	27	37	27	37	27	37	9	45	9	45	9	45
31	40	27	44	31	40	27	44	28	37	28	37	28	37	28	37	31	40	27	44	31	40	27	44	28	37	28	37	28	37	28	37	28	37	28	37	10	45	10	45	10	45
32	40	27	45	32	40	27	45	29	37	29	37	29	37	29	37	32	40	27	45	32	40	27	45	29	37	29	37	29	37	29	37	29	37	29	37	11	45	11	45	11	45
32	41	28	45	32	41	28	45	30	37	30	37	30	37	30	37	32	41	28	45	32	41	28	45	30	37	30	37	30	37	30	37	30	37	30	37	12	45	12	45	12	45
32	42	29	45	32	42	29	45	31	37	31	37	31	37	31	37	32	42	29	45	32	42	29	45	31	37	31	37	31	37	31	37	31	37	31	37	13	45	13	45	13	45
32	43	30	45	32	43	30	45	32	37	32	37	32	37	32	37	32	43	30	45	32	43	30	45	32	37	32	37	32	37	32	37	32	37	32	37	14	45	14	45	14	45
32	44	31	45	32	44	31	45	33	37	33	37	33	37	33	37	32	44	31	45	32	44	31	45	33	37	33	37	33	37	33	37	33	37	33	37	15	45	15	45	15	45
32	45	32	45	32	45	32	45	34	37	34	37	34	37	34	37	32	45	32	45	32	45	32	45	34	37	34	37	34	37	34	37	34	37	34	37	16	45	16	45	16	45
33	45	33	45	33	45	33	45	35	37	35	37	35	37	35	37	33	45	33	45	33	45	33	45	35	37	35	37	35	37	35	37	35	37	35	37	17	45	17	45	17	45
34	45	34	45	34	45	34	45	36	37	36	37	36	37	36	37	34	45	34	45	34	45	34	45	36	37	36	37	36	37	36	37	36	37	36	37	18	45	18	45	18	45
35	45	35	45	35	45	35	45	37	37	37	37	37	37	37	37	35	45	35	45	35	45	35	45	37	37	37	37	37	37	37	37	37	37	37	37	19	45	19	45	19	45
36	45	36	45	36	45	36	45	38	37	38	37	38	37	38	37	36	45	36	45	36	45	36	45	38	37	38	37	38	37	38	37	38	37	38	37	20	45	20	45	20	45
37	45	37	45	37	45	37	45	39	37	39	37	39	37	39	37	37	45	37	45	37	45	37	45	39	37	39	37	39	37	39	37	39	37	39	37	21	45	21	45	21	45
38	45	38	45	38	45	38	45	40	37	40	37	40	37	40	37	38	45	38	45	38	45	38	45	40	37	40	37	40	37	40	37	40	37	40	37	22	45	22	45	22	45
39	45	39	45	39	45	39	45	41	37	41	37	41	37	41	37	39	45	39	45	39	45	39	45	41	37	41	37	41	37	41	37	41	37	41	37	23	45	23	45	23	45
40	45	40	45	40	45	40	45	42	37	42	37	42	37	42	37	40	45	40	45	40	45	40	45	42	37	42	37	42	37	42	37	42	37	42	37	24	45	24	45	24	45
41	45	41	45	41	45	41	45	43	37	43	37	43	37	43	37	41	45	41	45	41	45	41	45	43	37	43	37	43	37	43	37	43	37	43	37	25	45	25	45	25	45
42	45	42	45	42	45	42	45	44	37	44	37	44	37	44	37	42	45	42	45	42	45	42	45	44	37	44	37	44	37	44	37	44	37	44	37	26	45	26	45	26	45
43	45	43	45	43	45	43	45	45	37	45	37	45	37	45	37	43	45	43	45	43	45	43	45	45	37	45	37	45	37	45	37	45	37	45	37	27	45	27	45	27	45
44	45	44	45	44	45	44	45	45	38	45	38	45	38	45	38	44	45	44	45	44	45	44	45	45	38	45	38	45	38	45	38	45	38	45	38	28	45	28	45	28	45
45	45	45	45	45	45	45	45	45	39	45	39	45	39	45	39	45	45	45	45	45	45	45	45	45	39	45	39	45	39	45	39	45	39	45	39	29	45	29	45	29	45
45	44	45	44	45	44	45	44	45	40	45	40	45	40	45	40	45	44	45	44	45	44	45	44	45	40	45	40	45	40	45	40	45	40	45	40	30	45	30	45	30	45
45	45	45	45	45	45	45	45	45	41	45	41	45	41	45	41	45	43	45	43	45	43	45	43	45	41	45	41	45	41	45	41	45	41	45	41	31	45	31	45	31	45
44	45	44	45	44	45	44	45	45	42	45	42	45	42	45	42	45	42	45	42	45	42	45	42	45	42	45	42	45	42	45	42	45	42	45	42	32	45	32	45	32	45
43	45	43	45	43	45	43	45	45	43	45	43	45	43	45	43	45	41	45	41	45	41	45	41	45	43	45	43	45	43	45	43	45	43	45	43	33	45	33	45	33	45
42	45	42	45	42	45	42	45	45	44	45	44	45	44	45	44	45	40	45	40	45	40	45	40	45	44	45	44	45	44	45	44	45	44	45	44	34	45	34	45	34	45
41	45	41	45	41	45	41	45	45	45	45	45	45	45	45	45	45	39	45	39	45	39	45	39	45	43	45	43	45	43	45	43	45	45	45	45	35	45	35	45	35	45
40	45	40	45	40	45	40	45	44	45	44	45	44	45	44	45	45	38	45	38	45	38	45	38	45	42	45	42	45	42	45	42	44	45	44	45	36	45	36	45	36	45
39	45	39	45	39	45	39	45	43	45	43	45	43	45	43	45	45	37	45	37	45	37	45	37	45	41	45	41	45	41	45	41	43	45	43	45	37	45	37	45	37	45
38	45	38	45	38	45	38	45	42	45	42	45	42	45	42	45	44	37	44	37	44	37	44	37	45	40	45	40	45	40	45	40	42	45	42	45	38	45	38	45	38	45
37	45	37	45	37	45	37	45	41	45	41	45	41	45	41	45	43	37	43	37	43	37	43	37	45	39	45	39	45	39	45	39	41	45	41	45	39	45	39	45	39	45
36	45	36	45	36	45	36	45	40	45	40	45	40	45	40	45	42	37	42	37	42	37	42	37	45	38	45	38	45	38	45	38	40	45	40	45	40	45	40	45	40	45
35	45	35	45	35	45	35	45	39	45	39	45	39	45	39	45	41	37	41	37	41	37	41	37	45	37	45	37	45	37	45	37	39	45	39	45	41	45	41	45	41	45
34	45	34	45	34	45	34	45	38	45	38	45	38	45	38	45	40	37	40	37	40	37	40	37	44	37	44	37	44	37	44	37	38	45	38	45	42	45	42	45	42	45
33	45	33	45	33	45	33	45	37	45	37	45	37	45	37	45	39	37	39	37	39	37	39	37	43	37	43	37	43	37	43	37	37	45	37	45	43	45	43	45	43	45
32	45	32	45	32	45	32	45	36	45	36	45	36	45	36	45	38	37	38	37	38	37	38	37	42	37	42	37	42	37	42	37	36	45	36	45	44	45	44	45	44	45
31	45	31	45	32	44	32	44	35	45	35	45	35	45	35	45	37	37	37	37	37	37	37	37	41	37	41	37	41	37	41	37	35	45	35	45	45	45	45	45	45	45
30	45	30	45	32	43	32	43	34	45	34	45	34	45	34	45	36	37	36	37	36	37	36	37	40	37	40	37	40	37	40	37	34	45	34	45	45	44	45	44	45	44
29	45	29	45	32	42	32	42	33	45	33	45	33	45	33	45	35	37	35	37	35	37	35	37	39	37	39	37	39	37	39	37	33	45	33	45	45	43	45	43	45	45
28	45	28	45	32	41	32	41	32	45	32	45	32	45	32	45	34	37	34	37	34	37	34	37	38	37	38	37	38	37	38	37	32	45	32	45	45	42	45	42	44	45
27	45	27	45	32	40	32	40	31	45	31	45	32	44	32	44	33	37	33	37	33	37	33	37	37	37	37	37	37	37	37	37	31	45	31	45	45	41	45	41	43	45
27	44	27	44	31	40	31	40	30	45	30	45	32	43	32	43	32	37	32	37	32	37	32	37	36	37	36	37	36	37	36	37	30	45	30	45	45	40	45	40	42	45
27	43	27	43	30	40	30	40	29	45	29	45	32	42	32	42	31	37	31	37	31	37	31	37	35	37	35	37	35	37	35	37	29	45	29	45	45	39	45	39	41	45
27	42	27	42	29	40	29	40	28	45	28	45	32	41	32	41	30	37	30	37	30	37	30	37	34	37	34	37	34	37	34	37	28	45	28	45	45	38	45	38	40	45
27	41	27	41	28	40	28	40	27	45	27	45	32	40	32	40	29	37	29	37	29	37	29	37	33	37	33	37	33	37	33	37	27	45	27	45	45	37	45	37	39	45
27	40	27	40	27	40	27	40	27	44	27	44	31	40	31	40	28	37	28	37	28	37	28	37	32	37	32	37	32	37	32	37	26	45	26	45	44	37	44	37	38	45
26	40	26	40	26	40	26	40	27	43	27	43	30	40	30	40	27	37	27	37	27	37	27	37	31	37	31	37	31	37	31	37	25	45	25	45	43	37	43	37	37	45
25	40	25	40	25	40	25	40	27	42	27	42	29	40	29	40	26	37	26	37	26	37	26	37	30	37	30	37	30	37	30	37	24	45	24	45	42	37	42	37	36	45
24	40	24	40	24	40	24	40	27	41	27	41	28	40	28	40	25	37	25	37	25	37	25	37	29	37	29	37	29	37	29	37	23	45	23	45	41	37	41	37	35	45
23	40	23	40	23	40	23	40	27	40	27	40	27	40	27	40	24	37	24	37	24	37	24	37	28	37	28	37	28	37	28	37	22	45	22	45	40	37	40	37	34	45
22	40	22	40	22	40	22	40	26	40	26	40	26	40	26	40	23	37	23	37	23	37	23	37	27	37	27	37	27	37	27	37	21	45	21	45	39	37	39	37	33	45
21	40	21	40	21	40	21	40	25	40	25	40	25	40	25	40	22	37	22	37	22	37	22	37	26	37	26	37	26	37	26	37	20	45	20	45	38	37	38	37	32	45
20	40	20	40	20	40	20	40	24	40	24	40	24	40	24	40	22	38	22	38	21	37	21	37	25	37	25	37	25	37	25	37	19	45	19	45	37	37	37	37	31	45
19	40	19	40	19	40	19	40	23	40	23	40	23	40	23	40	22	39	22	39	20	37	20	37	24	37	24	37	24	37	24	37	18	45	18	45	36	37	36	37	30	45
18	40	18	40	18	40	18	40	22	40	22	40	22	40	22	40	22	40	22	40	19	37	19	37	23	37	23	37	23	37	23	37	17	45	17	45	35	37	35	37	29	45
17	40	17	40	17	40	17	40	21	40	21	40	21	40	21	40	21	40	21	40	18	37	18	37	22	37	22	37	22	37	22	37	16	45	16	45	34	37	34	37	28	45
16	40	16	40	16	40	16	40	20	40	20	40	20	40	20	40	20	40	20	40	17	37	17	37	21	37	21	37	22	38	22	38	15	45	15	45	33	37	33	37	27	45
15	40	15	40	15	40	15	40	19	40	19	40	19	40	19	40	19	40	19	40	16	37	16	37	20	37	20	37	22	39	22	39	14	45	14	45	32	37	32	37	26	45
14	40	14	40	14	40	14	40	18	40	18	40	18	40	18	40	18	40	18	40	15	37	15	37	19	37	19	37	22	40	22	40	13	45	13	45	31	37	31	37	25	45
13	40	13	40	13	40	13	40	17	40	17	40	17	40	17	40	17	40	17	40	14	37	14	37	18	37	18	37	21	40	21	40	12	45	12	45	30	37	30	37	24	45
12	40	12	40	12	40	12	40	16	40	16	40	16	40	16	40	16	40	16	40	13	37	13	37	17	37	17	37	20	40	20	40	11	45	11	45	29	37	29	37	23	45
11	40	11	40	11	40	11	40	15	40	15	40	15	40	15	40	15	40	15	40	12	37	12	37	16	37	16	37	19	40	19	40	10	45	10	45	28	37	28	37	22	45
10	40	10	40	10	40	10	40	14	40	14	40	14	40	14	40	14	40	14	40	11	37	11	37	15	37	15	37	18	40	18	40	9	45	9	45	27	37	27	37	21	45
0	0	0	0	0	0	0	0	13	40	13	40	13	40	13	40	13	40	13	40	10	37	10	37	14	37	14	37	17	40	17	40	8	45	8	45	26	37	26	37	20	45
0	0	0	0	0	0	0	0	12	40	12	40	12	40	12	40	12	40	12	40	10	38	10	38	13	37	13	37	16	40	16	40	7	45	7	45	25	37	25	37	19	45
0	0	0	0	0	0	0	0	11	40	11	40	11	40	11	40	11	40	11	40	10	39	10	39	12	37	12	37	15	40	15	40	6	45	6	45	24	37	24	37	18	45
0	0	0	0	0	0	0	0	10	40	10	40	10	40	10	40	10	40	10	40	10	40	10	40	11	37	11	37	14	40	14	40	5	45	5	45	23	37	23	37	17	45
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	37	10	37	13	40	13	40	5	44	5	44	22	37	22	37	16	45
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	38	10	38	12	40	12	40	5	43	5	43	21	37	22	38	15	45
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	39	10	39	11	40	11	40	5	42	5	42	20	37	22	39	14	45
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	40	10	40	10	40	10	40	5	41	5	41	19	37	22	40	13	45
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	40	5	40	18	37	21	40	12	45
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	39	5	39	17	37	20	40	11	45
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	38	5	38	16	37	19	40	10	45
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	37	5	37	15	37	18	40	9	45
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	37	6	37	14	37	17	40	8	45
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	37	7	37	13	37	16	40	7	45
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	37	8	37	12	37	15	40	6	45
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	37	9	37	11	37	14	40	5	45
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	37	10	37	10	37	13	40	5	44
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	38	10	38	10	38	12	40	5	43
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	39	10	39	10	39	11	40	5	42
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	40	10	40	10	40	10	40	5	41
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	40
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	39
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	38
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	37
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	37
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	37
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	37
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	37
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	37
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	38
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	39
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	40
