Path12_1(x)	Path12_1(y)	Path12_2(x)	Path12_2(y)	Path12_3(x)	Path12_3(y)	Path12_4(x)	Path12_4(y)	Path12_5(x)	Path12_5(y)	Path12_6(x)	Path12_6(y)	Path12_7(x)	Path12_7(y)	Path12_8(x)	Path12_8(y)	Path12_9(x)	Path12_9(y)	Path12_10(x)	Path12_10(y)	Path12_11(x)	Path12_11(y)	Path12_12(x)	Path12_12(y)	Path12_13(x)	Path12_13(y)	Path12_14(x)	Path12_14(y)	Path12_15(x)	Path12_15(y)	Path12_16(x)	Path12_16(y)	Path12_17(x)	Path12_17(y)	Path12_18(x)	Path12_18(y)	Path12_19(x)	Path12_19(y)	Path12_20(x)	Path12_20(y)	Path12_21(x)	Path12_21(y)	Path12_22(x)	Path12_22(y)	Path12_23(x)	Path12_23(y)	Path12_24(x)	Path12_24(y)	Path12_25(x)	Path12_25(y)	Path12_26(x)	Path12_26(y)	Path12_27(x)	Path12_27(y)	Path12_28(x)	Path12_28(y)	Path12_29(x)	Path12_29(y)	Path12_30(x)	Path12_30(y)	Path12_31(x)	Path12_31(y)	Path12_32(x)	Path12_32(y)	Path12_33(x)	Path12_33(y)	Path12_34(x)	Path12_34(y)	Path12_35(x)	Path12_35(y)	Path12_36(x)	Path12_36(y)	Path12_37(x)	Path12_37(y)	Path12_38(x)	Path12_38(y)	Path12_39(x)	Path12_39(y)	Path12_40(x)	Path12_40(y)
45	34	45	34	45	34	45	34	32	27	32	27	32	27	32	27	45	34	45	34	45	34	45	34	45	34	45	34	43	22	43	22	43	22	43	22	43	22	43	22	36	45	36	45	36	45	36	45	36	45	36	45	30	29	32	31	32	31	30	29	32	31	32	31	45	34	45	34	40	23	40	23	36	45	36	45	32	35	32	35
45	33	45	33	45	33	45	33	33	27	33	27	33	27	33	27	45	33	45	33	45	33	45	33	45	33	45	33	44	22	44	22	44	22	44	22	44	22	44	22	37	45	37	45	37	45	37	45	37	45	37	45	30	28	32	30	32	30	30	28	32	30	32	30	45	33	45	33	40	22	40	22	37	45	37	45	32	34	32	34
45	32	45	32	45	32	45	32	34	27	34	27	34	27	34	27	45	32	45	32	45	32	45	32	45	32	45	32	45	22	45	22	45	22	45	22	45	22	45	22	38	45	38	45	38	45	38	45	38	45	38	45	30	27	32	29	32	29	30	27	32	29	32	29	45	32	45	32	41	22	41	22	38	45	38	45	32	33	32	33
45	31	45	31	45	31	45	31	35	27	35	27	35	27	35	27	45	31	45	31	45	31	45	31	45	31	45	31	45	21	45	21	45	21	45	21	45	21	45	21	39	45	39	45	39	45	39	45	39	45	39	45	31	27	32	28	32	28	31	27	32	28	32	28	45	31	45	31	42	22	42	22	39	45	39	45	32	32	32	32
45	30	45	30	45	30	45	30	36	27	36	27	36	27	36	27	45	30	45	30	45	30	45	30	45	30	45	30	45	20	45	20	45	20	45	20	45	20	45	20	40	45	40	45	40	45	40	45	40	45	40	45	32	27	32	27	32	27	32	27	32	27	32	27	45	30	45	30	43	22	43	22	40	45	40	45	32	31	32	31
45	29	45	29	45	29	45	29	37	27	37	27	37	27	37	27	45	29	45	29	45	29	45	29	45	29	45	29	45	19	45	19	45	19	45	19	45	19	45	19	41	45	41	45	41	45	41	45	41	45	41	45	33	27	33	27	33	27	33	27	33	27	33	27	45	29	45	29	44	22	44	22	41	45	41	45	32	30	32	30
45	28	45	28	45	28	45	28	38	27	38	27	38	27	38	27	45	28	45	28	45	28	45	28	45	28	45	28	45	18	45	18	45	18	45	18	45	18	45	18	42	45	42	45	42	45	42	45	42	45	42	45	34	27	34	27	34	27	34	27	34	27	34	27	45	28	45	28	45	22	45	22	42	45	42	45	32	29	32	29
45	27	45	27	45	27	45	27	39	27	39	27	39	27	39	27	45	27	45	27	45	27	45	27	45	27	45	27	45	17	45	17	45	17	45	17	45	17	45	17	43	45	43	45	43	45	43	45	43	45	43	45	35	27	35	27	35	27	35	27	35	27	35	27	45	27	45	27	45	21	45	21	43	45	43	45	32	28	32	28
45	26	45	26	45	26	45	26	40	27	40	27	40	27	40	27	45	26	45	26	45	26	45	26	45	26	45	26	45	16	45	16	45	16	45	16	45	16	45	16	44	45	44	45	44	45	44	45	44	45	44	45	36	27	36	27	36	27	36	27	36	27	36	27	45	26	45	26	45	20	45	20	44	45	44	45	32	27	32	27
45	25	45	25	45	25	45	25	40	26	40	26	40	26	40	26	45	25	45	25	45	25	45	25	45	25	45	25	45	15	45	15	45	15	45	15	45	15	45	15	45	45	45	45	45	45	45	45	45	45	45	45	37	27	37	27	37	27	37	27	37	27	37	27	45	25	45	25	45	19	45	19	45	45	45	45	33	27	33	27
45	24	45	24	45	24	45	24	40	25	40	25	40	25	40	25	45	24	45	24	45	24	45	24	45	24	45	24	45	14	45	14	45	14	45	14	45	14	45	14	45	44	45	44	45	44	45	44	45	44	45	44	38	27	38	27	38	27	38	27	38	27	38	27	45	24	45	24	45	18	45	18	45	44	45	44	34	27	34	27
45	23	45	23	45	23	45	23	40	24	40	24	40	24	40	24	45	23	45	23	45	23	45	23	45	23	45	23	45	15	45	15	45	15	45	15	45	15	45	15	45	43	45	43	45	43	45	43	45	43	45	43	39	27	39	27	39	27	39	27	39	27	39	27	45	23	45	23	45	17	45	17	45	43	45	43	35	27	35	27
45	22	45	22	45	22	45	22	40	23	40	23	40	23	40	23	45	22	45	22	45	22	45	22	45	22	45	22	45	16	45	16	45	16	45	16	45	16	45	16	45	42	45	42	45	42	45	42	45	42	45	42	40	27	40	27	40	27	40	27	40	27	40	27	45	22	45	22	45	16	45	16	45	42	45	42	36	27	36	27
45	21	45	21	45	21	45	21	40	22	40	22	40	22	40	22	45	21	45	21	45	21	45	21	45	21	45	21	45	17	45	17	45	17	45	17	45	17	45	17	45	41	45	41	45	41	45	41	45	41	45	41	40	26	40	26	40	26	40	26	40	26	40	26	45	21	45	21	45	15	45	15	45	41	45	41	37	27	37	27
45	20	45	20	45	20	45	20	41	22	41	22	41	22	41	22	45	20	45	20	45	20	45	20	45	20	45	20	45	18	45	18	45	18	45	18	45	18	45	18	45	40	45	40	45	40	45	40	45	40	45	40	40	25	40	25	40	25	40	25	40	25	40	25	45	20	45	20	45	14	45	14	45	40	45	40	38	27	38	27
45	19	45	19	45	19	45	19	42	22	42	22	42	22	42	22	45	19	45	19	45	19	45	19	45	19	45	19	45	19	45	19	45	19	45	19	45	19	45	19	45	39	45	39	45	39	45	39	45	39	45	39	40	24	40	24	40	24	40	24	40	24	40	24	45	19	45	19	45	15	45	15	45	39	45	39	39	27	39	27
45	18	45	18	45	18	45	18	43	22	43	22	43	22	43	22	45	18	45	18	45	18	45	18	45	18	45	18	45	20	45	20	45	20	45	20	45	20	45	20	45	38	45	38	45	38	45	38	45	38	45	38	40	23	40	23	40	23	40	23	40	23	40	23	45	18	45	18	45	16	45	16	45	38	45	38	40	27	40	27
45	17	45	17	45	17	45	17	44	22	44	22	44	22	44	22	45	17	45	17	45	17	45	17	45	17	45	17	45	21	45	21	45	21	45	21	45	21	45	21	45	37	45	37	45	37	45	37	45	37	45	37	40	22	40	22	40	22	40	22	40	22	40	22	45	17	45	17	45	17	45	17	45	37	45	37	40	26	40	26
45	16	45	16	45	16	45	16	45	22	45	22	45	22	45	22	45	16	45	16	45	16	45	16	45	16	45	16	45	22	45	22	45	22	45	22	45	22	45	22	45	36	45	36	45	36	45	36	45	36	45	36	41	22	41	22	41	22	41	22	41	22	41	22	45	16	45	16	45	18	45	18	45	36	45	36	40	25	40	25
45	15	45	15	45	15	45	15	45	21	45	21	45	21	45	21	45	15	45	15	45	15	45	15	45	15	45	15	45	23	45	23	45	23	45	23	45	23	45	23	45	35	45	35	45	35	45	35	45	35	45	35	42	22	42	22	42	22	42	22	42	22	42	22	45	15	45	15	45	19	45	19	45	35	45	35	40	24	40	24
45	14	45	14	45	14	45	14	45	20	45	20	45	20	45	20	45	14	45	14	45	14	45	14	45	14	45	14	45	24	45	24	45	24	45	24	45	24	45	24	45	34	45	34	45	34	45	34	45	34	45	34	43	22	43	22	43	22	43	22	43	22	43	22	45	14	45	14	45	20	45	20	45	34	45	34	40	23	40	23
45	15	45	15	45	15	45	15	45	19	45	19	45	19	45	19	45	15	45	15	45	15	45	15	45	15	45	15	45	25	45	25	45	25	45	25	45	25	45	25	45	33	45	33	45	33	45	33	45	33	45	33	44	22	44	22	44	22	44	22	44	22	44	22	45	15	45	15	45	21	45	21	45	33	45	33	40	22	40	22
45	16	45	16	45	16	45	16	45	18	45	18	45	18	45	18	45	16	45	16	45	16	45	16	45	16	45	16	45	26	45	26	45	26	45	26	45	26	45	26	45	32	45	32	45	32	45	32	45	32	45	32	45	22	45	22	45	22	45	22	45	22	45	22	45	16	45	16	45	22	45	22	45	32	45	32	41	22	41	22
45	17	45	17	45	17	45	17	45	17	45	17	45	17	45	17	45	17	45	17	45	17	45	17	45	17	45	17	45	27	45	27	45	27	45	27	45	27	45	27	45	31	45	31	45	31	45	31	45	31	45	31	45	21	45	21	45	21	45	21	45	21	45	21	45	17	45	17	45	23	45	23	45	31	45	31	42	22	42	22
45	18	45	18	45	18	45	18	45	16	45	16	45	16	45	16	45	18	45	18	45	18	45	18	45	18	45	18	45	28	45	28	45	28	45	28	45	28	45	28	45	30	45	30	45	30	45	30	45	30	45	30	45	20	45	20	45	20	45	20	45	20	45	20	45	18	45	18	45	24	45	24	45	30	45	30	43	22	43	22
45	19	45	19	45	19	45	19	45	15	45	15	45	15	45	15	45	19	45	19	45	19	45	19	45	19	45	19	45	29	45	29	45	29	45	29	45	29	45	29	45	29	45	29	45	29	45	29	45	29	45	29	45	19	45	19	45	19	45	19	45	19	45	19	45	19	45	19	45	25	45	25	45	29	45	29	44	22	44	22
45	20	45	20	45	20	45	20	45	14	45	14	45	14	45	14	45	20	45	20	45	20	45	20	45	20	45	20	45	30	45	30	45	30	45	30	45	30	45	30	45	28	45	28	45	28	45	28	45	28	45	28	45	18	45	18	45	18	45	18	45	18	45	18	45	20	45	20	45	26	45	26	45	28	45	28	45	22	45	22
