Path11_1(x)	Path11_1(y)	Path11_2(x)	Path11_2(y)	Path11_3(x)	Path11_3(y)	Path11_4(x)	Path11_4(y)	Path11_5(x)	Path11_5(y)	Path11_6(x)	Path11_6(y)	Path11_7(x)	Path11_7(y)	Path11_8(x)	Path11_8(y)	Path11_9(x)	Path11_9(y)	Path11_10(x)	Path11_10(y)	Path11_11(x)	Path11_11(y)	Path11_12(x)	Path11_12(y)	Path11_13(x)	Path11_13(y)	Path11_14(x)	Path11_14(y)	Path11_15(x)	Path11_15(y)	Path11_16(x)	Path11_16(y)
12	16	12	16	13	17	13	17	10	14	10	14	10	14	10	14	12	16	12	16	13	17	13	17	5	19	5	19	5	19	5	19
12	15	12	15	14	17	14	17	10	13	10	13	10	13	10	13	12	15	12	15	14	17	14	17	5	18	5	18	5	18	5	18
12	14	12	14	15	17	15	17	9	13	9	13	9	13	9	13	12	14	12	14	15	17	15	17	5	17	5	17	5	17	5	17
12	13	12	13	15	16	15	16	8	13	8	13	8	13	8	13	12	13	12	13	15	16	15	16	5	16	5	16	5	16	5	16
12	12	12	12	15	15	15	15	9	13	9	13	9	13	9	13	12	12	12	12	15	15	15	15	5	15	5	15	5	15	5	15
12	11	12	11	16	15	16	15	10	13	10	13	10	13	10	13	12	11	12	11	16	15	16	15	5	14	5	14	5	14	5	14
12	10	12	10	17	15	17	15	10	12	10	12	10	12	10	12	12	10	12	10	17	15	17	15	5	13	5	13	5	13	5	13
13	10	13	10	18	15	18	15	10	11	10	11	10	11	10	11	13	10	13	10	18	15	18	15	6	13	6	13	6	13	6	13
14	10	14	10	19	15	19	15	10	10	10	10	10	10	10	10	14	10	14	10	19	15	19	15	7	13	7	13	7	13	7	13
15	10	15	10	20	15	20	15	11	10	11	10	11	10	11	10	15	10	15	10	20	15	20	15	8	13	8	13	8	13	8	13
16	10	16	10	21	15	21	15	12	10	12	10	12	10	12	10	16	10	16	10	21	15	21	15	9	13	9	13	9	13	9	13
17	10	17	10	21	14	21	14	13	10	13	10	13	10	13	10	17	10	17	10	21	14	21	14	10	13	10	13	10	13	10	13
18	10	18	10	21	13	21	13	14	10	14	10	14	10	14	10	18	10	18	10	21	13	21	13	10	12	10	12	10	12	10	12
19	10	19	10	21	12	21	12	15	10	15	10	15	10	15	10	19	10	19	10	21	12	21	12	10	11	10	11	10	11	10	11
20	10	20	10	21	11	21	11	16	10	16	10	16	10	16	10	20	10	20	10	21	11	21	11	10	10	10	10	10	10	10	10
21	10	21	10	21	10	21	10	17	10	17	10	17	10	17	10	21	10	21	10	21	10	21	10	11	10	11	10	11	10	11	10
20	10	20	10	20	10	20	10	18	10	18	10	18	10	18	10	20	10	20	10	20	10	20	10	12	10	12	10	12	10	12	10
19	10	19	10	19	10	19	10	19	10	19	10	19	10	19	10	19	10	19	10	19	10	19	10	13	10	13	10	13	10	13	10
18	10	18	10	18	10	18	10	20	10	20	10	20	10	20	10	18	10	18	10	18	10	18	10	14	10	14	10	14	10	14	10
17	10	17	10	17	10	17	10	21	10	21	10	21	10	21	10	17	10	17	10	17	10	17	10	15	10	15	10	15	10	15	10
16	10	16	10	16	10	16	10	20	10	21	11	20	10	21	11	16	10	16	10	16	10	16	10	16	10	16	10	16	10	16	10
15	10	15	10	15	10	15	10	19	10	21	12	19	10	21	12	15	10	15	10	15	10	15	10	17	10	17	10	17	10	17	10
14	10	14	10	14	10	14	10	18	10	21	13	18	10	21	13	14	10	14	10	14	10	14	10	18	10	18	10	18	10	18	10
13	10	13	10	13	10	13	10	17	10	21	14	17	10	21	14	13	10	13	10	13	10	13	10	19	10	19	10	19	10	19	10
12	10	12	10	12	10	12	10	16	10	21	15	16	10	21	15	12	10	12	10	12	10	12	10	20	10	20	10	20	10	20	10
11	10	11	10	11	10	11	10	15	10	20	15	15	10	20	15	11	10	11	10	11	10	11	10	21	10	21	10	21	10	21	10
10	10	10	10	10	10	10	10	14	10	19	15	14	10	19	15	10	10	10	10	10	10	10	10	20	10	21	11	20	10	21	11
10	11	10	11	10	11	10	11	13	10	18	15	13	10	18	15	10	11	10	11	10	11	10	11	19	10	21	12	19	10	21	12
10	12	10	12	10	12	10	12	12	10	17	15	12	10	17	15	10	12	10	12	10	12	10	12	18	10	21	13	18	10	21	13
10	13	10	13	10	13	10	13	12	11	16	15	12	11	16	15	10	13	10	13	10	13	10	13	17	10	21	14	17	10	21	14
9	13	9	13	9	13	9	13	12	12	15	15	12	12	15	15	9	13	9	13	9	13	9	13	16	10	21	15	16	10	21	15
8	13	8	13	8	13	8	13	12	13	15	16	12	13	15	16	8	13	8	13	8	13	8	13	15	10	20	15	15	10	20	15
9	13	9	13	9	13	9	13	12	14	15	17	12	14	15	17	7	13	7	13	7	13	7	13	14	10	19	15	14	10	19	15
10	13	10	13	10	13	10	13	12	15	14	17	12	15	14	17	6	13	6	13	6	13	6	13	13	10	18	15	13	10	18	15
10	14	10	14	10	14	10	14	12	16	13	17	12	16	13	17	5	13	5	13	5	13	5	13	12	10	17	15	12	10	17	15
10	15	10	15	10	15	10	15	12	17	12	17	12	17	12	17	5	14	5	14	5	14	5	14	12	11	16	15	12	11	16	15
10	16	10	16	10	16	10	16	11	17	11	17	12	18	12	18	5	15	5	15	5	15	5	15	12	12	15	15	12	12	15	15
10	17	10	17	10	17	10	17	10	17	10	17	12	19	12	19	5	16	5	16	5	16	5	16	12	13	15	16	12	13	15	16
10	18	10	18	10	18	10	18	10	18	10	18	12	20	12	20	5	17	5	17	5	17	5	17	12	14	15	17	12	14	15	17
10	19	10	19	10	19	10	19	10	19	10	19	12	21	12	21	5	18	5	18	5	18	5	18	12	15	14	17	12	15	14	17
10	20	10	20	10	20	10	20	10	20	10	20	12	22	12	22	5	19	5	19	5	19	5	19	12	16	13	17	12	16	13	17
10	21	10	21	10	21	10	21	10	21	10	21	12	23	12	23	5	20	5	20	5	20	5	20	12	17	12	17	12	17	12	17
10	22	10	22	10	22	10	22	10	22	10	22	12	24	12	24	5	21	5	21	5	21	5	21	11	17	11	17	12	18	12	18
10	23	10	23	10	23	10	23	10	23	10	23	12	25	12	25	5	22	5	22	5	22	5	22	10	17	10	17	12	19	12	19
10	24	10	24	10	24	10	24	10	24	10	24	12	26	12	26	5	23	5	23	5	23	5	23	10	18	10	18	12	20	12	20
10	25	10	25	10	25	10	25	10	25	10	25	12	27	12	27	5	24	5	24	5	24	5	24	10	19	10	19	12	21	12	21
10	26	10	26	10	26	10	26	10	26	10	26	12	28	12	28	5	25	5	25	5	25	5	25	10	20	10	20	12	22	12	22
10	27	10	27	10	27	10	27	10	27	10	27	12	29	12	29	6	25	6	25	6	25	6	25	10	21	10	21	12	23	12	23
10	28	10	28	10	28	10	28	10	28	10	28	12	30	12	30	7	25	7	25	7	25	7	25	10	22	10	22	12	24	12	24
10	29	10	29	10	29	10	29	10	29	10	29	11	30	11	30	8	25	8	25	8	25	8	25	10	23	10	23	12	25	12	25
10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30	9	25	9	25	9	25	9	25	10	24	10	24	12	26	12	26
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	25	10	25	10	25	10	25	10	25	10	25	12	27	12	27
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	26	10	26	10	26	10	26	10	26	10	26	12	28	12	28
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	27	10	27	10	27	10	27	10	27	10	27	12	29	12	29
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	28	10	28	10	28	10	28	10	28	10	28	12	30	12	30
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	29	10	29	10	29	10	29	10	29	10	29	11	30	11	30
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	30	10	30	10	30	10	30	10	30	10	30	10	30	10	30
